edad,educ,wage
33,13,3980.733303940027
19,6,2556.7183913539247
56,13,3603.99962686022
38,3,3228.053384921377
26,6,1814.3382349154222
29,10,2946.8461120526845
55,6,1200.0468604221257
24,11,2927.8191632543453
42,9,3293.313583165884
30,4,2714.254430673936
63,2,1703.4818126643563
57,11,2244.88624919927
64,7,3630.0306695936843
69,5,2446.847502564401
19,5,2285.257690070734
50,14,1760.0842328587423
72,9,2528.1528822349237
26,6,2299.9441909110183
40,12,2988.2312930782496
39,13,2707.28208130824
41,2,2727.7775807091143
27,13,1152.7169134199607
23,8,2348.1019338591996
48,7,2565.5698177958375
60,2,3324.2652386752297
24,9,2325.6557238870437
77,0,3428.453198286
43,2,2390.214028821365
45,10,2889.1910209378934
72,4,1915.7480546702568
65,10,1889.1617342974569
41,3,1328.0932123869854
50,9,3556.079077644801
21,7,2551.126839817696
52,14,2380.045254932967
76,10,1326.5874014444587
51,14,3118.0052892872345
79,8,1699.6499530582812
26,11,1802.0658696633773
76,0,1741.1557911070063
67,14,2778.943516038008
52,11,2809.099066471633
57,1,2638.476652765918
50,11,3572.8815051821502
62,11,2581.835997477981
60,10,2140.7289304204323
21,13,2359.5788590510083
69,7,2189.706989446053
57,6,2784.828847987525
25,4,2765.7537787767424
38,5,2755.3032713537928
47,6,3629.4435958835866
37,3,2622.427572437334
20,11,2045.6139490758117
19,1,1675.790950170342
26,1,2087.807504657389
39,3,1746.583337932591
29,5,2860.753470701191
58,10,2246.6814335301838
77,8,2362.09529023
62,6,2965.9646591384226
61,12,3208.406721566658
52,10,3453.9850311335326
25,7,1435.9042514522105
53,9,2747.5787477994786
35,0,2825.751056397977
73,10,2841.4661433718034
51,1,2699.0278913828147
26,4,2430.2313370739753
45,11,3751.6546009094855
37,8,3510.9218779201274
19,9,2416.6308113472273
54,4,2056.0477290893473
61,11,2301.9672626439974
49,9,2423.4009876946006
63,5,2483.7246252461337
67,12,3375.142065248894
34,2,1701.500505749294
75,13,2584.69715645295
73,11,2372.032145657516
44,2,2861.0216076762067
55,6,2011.1672441301878
69,4,3442.9634684203393
71,4,1689.5425890641043
36,8,2295.26437098419
24,4,2663.640441676415
46,8,2454.5515987236336
59,7,2130.1845717650563
55,1,3029.5407720020557
42,9,2966.186121757871
74,13,2910.23262933789
53,1,2002.1120533991107
76,10,2200.9851291534846
58,2,1941.775359746815
59,10,3096.1524597362413
55,3,1843.5844692557407
49,13,2052.7507375144023
46,14,2416.192297926038
64,11,1845.9705686100713
34,6,2001.5793521723513
30,6,1650.3742610216354
27,10,1955.6200046419983
59,14,2731.2797414874944
75,5,1282.966777485899
18,6,2156.185323381771
39,10,1750.3707108330034
47,2,1641.6260607120898
29,14,2876.5682415932793
45,12,2615.9788529134594
24,11,2906.121703642728
59,9,3237.096940755856
45,6,2244.2364378700327
78,10,2635.3069630521945
25,5,2723.8204259554823
76,14,2514.762777988516
75,4,3468.7754915601927
77,6,2774.8062269219836
41,13,2058.2299385654183
30,2,2815.052274032704
55,13,2830.1862229842
30,11,2051.2792205030646
21,10,2018.1903213311375
77,0,3517.264605917115
71,4,2716.3723308305807
64,11,3520.997606460954
18,2,2291.9642433963095
71,13,1803.6848845177244
69,10,2843.97442139178
33,4,2632.358127813802
78,9,2171.616055350852
59,2,2861.3744467411293
18,12,1385.3967166480722
68,0,2236.6192365076895
71,6,2943.9615625437423
34,7,1947.604585332678
78,10,3353.8745586255773
39,3,2168.365430923904
22,6,2730.306057398132
21,9,1603.1891777561407
38,9,1820.4064828013238
54,13,2631.139955925449
62,6,3460.276858207625
39,2,1951.6145027973753
33,5,1521.115696023795
29,8,2335.004176499423
57,12,2653.286129604274
56,10,1999.6452194975893
66,9,1967.672892196335
22,7,1593.1474921310587
63,9,3108.661731047331
54,6,2511.5245496095954
23,11,2611.630379556226
73,14,2605.398567397132
76,11,1993.6842564338285
27,8,1833.6468797442678
58,9,1978.276889161149
64,8,2748.559646481013
70,7,3163.1950043388774
68,14,3480.1849285824137
39,0,3151.098971711035
27,8,1938.5725822732607
73,0,3246.849331549178
41,9,2789.204223305662
70,10,2666.626912420421
31,5,2257.3532249053806
56,14,2893.5489139926503
49,7,3204.6992368455753
31,0,2827.687641126821
59,8,3394.27173987175
73,4,2095.9671062495186
34,5,2169.1224645002985
47,5,2233.750458028177
29,13,2224.817258822235
35,10,2857.909452028266
64,11,2775.820790709936
61,5,2947.309462234602
48,8,2928.785563918514
19,3,3190.9092872327747
48,13,2529.699696790436
38,14,2667.4716895558577
65,3,1899.531930101991
42,11,3209.2161216526656
18,3,2906.3058867536897
65,8,2387.454059641196
57,1,2674.2453578435066
71,12,2212.8676617615765
28,8,2293.799916624427
75,14,2460.150082654869
57,9,3470.103362734395
29,0,2504.901824047026
51,11,2888.770608451759
65,12,1759.6715952656464
29,6,2361.8163488367045
66,7,2287.7318219546178
26,8,2289.9492550816294
45,1,1863.3754304445365
62,5,2864.2789002353556
32,9,3740.0251644057125
33,7,2646.4239137203867
60,14,2442.8287603623735
24,11,2386.565644823735
44,7,2682.4884424172906
19,13,2275.5768188487336
31,4,2135.68560783662
70,1,2021.9318738510694
22,11,1758.5204934163626
78,3,2077.750187302971
36,6,1331.1009193134632
76,1,3021.828733988224
26,9,2933.4894042231836
49,1,3342.212506453833
55,5,2166.7355358938285
54,13,1608.2440534153661
44,6,2382.4949881642133
38,0,2695.7455936240426
70,1,2505.136050514323
59,5,2069.7484188836843
45,9,1618.064604515493
66,11,3360.7855927682663
57,13,2101.900796198892
52,12,2896.2549896869627
33,4,2344.9531091379563
60,12,2178.0490294986803
40,7,3220.511707378614
44,6,1986.0212216006607
69,13,3239.4594409103256
32,13,2924.05680372868
64,11,2976.617532028138
34,12,2409.0119380550827
20,8,3595.731213505712
23,12,2363.1012170197687
76,6,2020.0527207146079
29,0,3080.7973185692663
37,9,2195.5669206462217
53,6,2623.245535729706
65,10,2181.859393220264
65,13,2076.752300208936
74,7,1665.8547657938366
38,8,2283.4680431067945
42,10,1707.7737916623996
61,6,2585.119930746287
41,8,2644.3898707594544
41,1,2511.2546547511697
35,8,2902.1908466219056
38,3,2008.3760186403438
63,3,3148.4716548918122
38,10,2719.696237313807
77,0,2484.5907215378993
62,14,2208.933557505454
41,4,1834.6790462919867
51,3,2340.7650918256045
37,12,2775.508635196713
79,10,3775.6237181102706
56,8,2379.4780190277006
58,5,2807.755422548717
70,5,2366.308152895979
19,8,1855.3893597160136
67,1,2549.928201403241
63,10,2216.970914805516
27,4,1804.7371852734868
71,10,2119.162613243412
42,9,2031.9171530898266
71,5,2252.7581969487533
47,10,2408.478673434796
44,2,2846.8170910564113
33,6,2732.19749820632
52,9,3015.2439990735525
19,9,1787.6062487217505
21,11,2957.8344015420507
19,12,2328.7334402101133
22,11,2908.7658558414764
54,2,2074.0829863642302
35,3,2325.781995807535
28,3,2133.0792161610293
24,2,1933.227564766229
61,8,938.4796608521574
52,2,2360.3708247551003
40,14,2156.406749606718
22,8,2447.094089820591
38,7,3206.39015864832
58,12,1926.3728205586876
20,5,2458.4403477367055
69,13,1545.205036187537
27,8,2792.7062060185126
49,12,2603.185449428838
51,11,2117.4263636049977
33,4,2994.366283690733
52,8,2388.850099468176
43,4,2040.737493591744
26,12,2032.5792756259548
42,0,2753.0971468130956
68,4,2136.405559558787
48,5,1526.8942628219115
28,11,1935.9522321299642
62,11,2657.7701203331158
73,11,2697.426448528563
21,7,3029.9460845731924
18,3,2809.361251445463
28,1,3440.213048504936
53,3,2680.7864481302977
30,10,2246.053341176559
22,2,1627.7784749575555
57,2,2339.3080491842416
62,8,2499.2934357199174
68,8,3161.8453815365933
20,9,1780.542102802304
69,10,2402.633018936329
58,11,2125.637294474256
67,2,1911.7550674779222
46,4,1986.531610784463
74,3,1795.0396810269335
54,11,2780.94429694536
33,4,2303.9013610899706
23,4,2347.358130001732
35,1,1344.9240319756466
19,9,1831.2988715665701
25,3,2131.226026454609
28,4,3551.2422440025503
74,1,2853.477191777255
39,4,2019.0616776992758
72,13,2525.806875798776
67,14,2741.1007624258586
33,2,2829.5105300519326
54,6,2560.632937724293
18,4,1773.9905146258632
75,5,1881.6211143002506
32,6,2648.413856416858
52,11,3118.0389515101465
48,14,2258.3425474873543
58,11,2431.824632304299
45,9,2275.2312256953437
39,2,2267.5317582494795
44,6,2903.3758425801075
35,7,2980.076651743169
69,9,2729.206554005812
67,5,2334.8850979910717
40,4,2232.328028570608
27,11,2124.0420863149566
40,10,1973.0793727081277
47,4,2218.1948799258603
45,12,2630.380037175776
66,12,2389.9719980865584
30,8,2373.0342110782412
22,9,2244.7263233547524
49,7,2107.1970743847337
38,10,3373.553710022142
59,0,2636.58138478929
40,6,3229.7855345789662
52,3,2514.548240608477
53,1,2597.4899964655306
42,5,3357.5021727789886
54,10,2179.086344709964
26,12,2470.401307257737
34,10,2168.08497251085
55,6,3492.4975529479016
31,5,2649.243263071618
27,8,2686.781668989182
69,4,2019.020017734542
78,7,2210.41567336392
37,9,1875.347014891477
40,0,2421.6254819743094
51,13,2852.849460499168
35,1,1584.0197913701597
51,9,1831.8416565242806
35,13,2675.1032829631145
56,14,1342.7386075136212
51,6,2689.987264869991
52,1,2347.9485317683984
52,3,1538.2213033145508
26,11,3290.0771076341002
25,1,2513.015337602175
73,7,1302.7440830591413
79,6,2439.264204826923
43,2,3275.256298002837
59,14,2477.7016639494486
27,3,2639.686217748492
67,3,1643.67844014827
72,14,1756.712062135091
44,13,1522.7327464929242
70,12,2390.9103867422114
66,0,1382.0894523745826
56,6,2656.092785047409
22,9,2722.8831837811717
56,2,2589.700853553364
62,9,2293.233044295681
55,9,2894.236461652321
21,0,2230.337494035278
47,14,3104.3921678772067
48,2,2277.4788427329186
25,8,2727.5883825980404
52,5,2145.4398071631786
32,4,1924.4238666365363
39,10,2525.5263687356833
32,0,2927.227232875213
72,1,3076.351414456249
45,2,1957.0738983814374
43,7,2824.9282507955477
48,11,3538.401709533512
78,9,2005.892058468576
36,13,3181.256564599503
58,5,2628.2551542220676
53,5,1829.8036375062984
26,12,1538.44312345859
41,0,2866.6365330795716
61,8,2185.842086734633
73,11,2177.528594021356
48,5,3743.646963735122
47,0,2202.4231802101767
33,0,2494.3660093772955
73,0,2318.7685490496942
47,7,2760.767708898843
40,1,2908.394998769663
51,14,2870.1670036477317
30,10,1867.55723985908
26,10,1958.715811188521
49,11,3131.050304415595
